1       47,7,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,13,37,37,37,38,38,38,38,38,39,39,39,38,38,38,38,39,38,38,8,4,3,3,3,4,3,4,4,5,5,5,6,6,7,8,8,9,10,11,12,15,16,20,47,47,1,0,0,0,0,0,0,0,0,0,1,30,31,30,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,12,10,8,7,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,5,6,7,9,11,13,47,92,92,92,69,68,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,92,92,92,18,16,13,11,10,8,7,6,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,6,7,7,9,10,12
2       47,47,47,18,13,11,10,9,7,6,5,5,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,5,6,7,8,9,11,12,14,19,47,47,47,17,13,12,10,8,7,6,5,4,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,4,5,6,7,8,9,11,13,18,37,19,16,14,12,10,9,8,8,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6,7,7,8,9,10,11,13,15,16,20,18,15,12,10,9,8,7,6,5,4,4,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,5,6,7,8,10,12,15,19
3       0,0,0,0,1,14,11,9,8,7,6,5,5,4,3,3,2,2,2,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,8,9,10,12,14,35,35,36,19,16,15,12,10,9,8,7,6,5,4,4,3,3,2,2,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,5,6,7,7,8,9,11,14,16,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,5,6,6,6,7,7,8,9,10,11,12,13,15,17,21,22,15,13,11,9,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,5,7,8,10,11,13,18,46
4       47,47,47,24,20,17,14,13,12,10,9,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,9,10,11,12,13,14,16,18,21,47,47,38,47,47,47,47,16,13,11,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,9,8,9,11,14,47,47,7,47,92,92,92,92,20,17,15,13,12,10,9,9,8,7,6,6,6,5,5,5,4,4,4,4,3,4,3,3,3,3,3,4,4,4,5,5,6,6,7,7,8,9,10,11,12,14,16,92,92,92,92,40,19,17,14,13,12,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,1,1,9,9,10,11,11,13,14
5       47,47,47,24,18,16,14,12,11,9,9,7,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6,8,9,10,11,6,7,15,17,20,47,47,47,47,47,20,15,13,10,9,8,7,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,8,10,11,14,17,47,47,92,92,92,19,17,15,13,11,11,9,9,8,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5,6,6,6,7,8,9,10,11,12,13,15,17,20,92,92,92,19,15,14,6,5,10,9,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,6,6,7,8,9,10,11,13,15,18
6       47,38,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,3,6,10,11,33,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,6,2,1,1,1,1,1,1,2,2,2,2,3,4,4,5,6,7,8,9,11,12,15,19,47,47,47,7,5,4,4,4,4,4,4,4,4,5,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,19,15,13,12,10,9,8,7,7,6,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,12,13,15,18,22,47,47,92,68,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,49,55,92,92,92,18,14,13,11,10,9,8,7,6,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,6,7,8,9,10,11,12,14,16,19,30,92,92
7       47,47,32,31,30,29,28,27,26,26,25,24,23,22,21,21,20,19,19,18,17,17,16,15,15,15,14,14,13,13,12,12,11,11,11,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,5,5,5,6,6,6,7,8,8,9,10,11,12,13,15,17,47,47,13,12,10,8,7,6,7,8,9,10,11,11,12,13,14,15,15,16,17,18,18,19,20,20,21,21,22,23,23,24,24,25,25,26,26,27,27,27,28,29,15,13,10,9,7,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,6,7,9,10,12,92,92,92,66,57,51,47,43,40,37,35,32,30,28,26,23,22,20,19,17,16,14,13,12,11,10,8,7,6,5,4,3,2,2,3,4,4,5,5,6,7,48,49,50,52,53,55,92,92,92,22,16,13,10,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,6,7,9,10,12
8       8,8,9,10,11,12,15,27,27,26,25,24,23,22,22,21,20,20,19,18,18,17,16,16,15,15,14,14,13,13,12,12,12,11,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,7,7,8,9,10,11,12,13,15,17,20,22,22,23,11,10,8,7,6,6,7,8,9,10,11,12,13,13,14,15,16,17,18,18,19,19,20,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,28,16,14,11,10,8,7,6,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,4,5,6,7,8,10,12,15,92,92,92,62,55,50,46,43,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,10,9,7,7,6,5,4,3,3,3,3,4,5,5,6,7,49,50,51,53,54,57,92,92,92,18,15,12,11,9,8,7,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,8,12,12,14
9       30,29,28,27,26,25,25,24,23,22,21,21,20,19,19,18,17,17,16,15,15,14,13,13,12,12,11,11,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,13,15,16,21,47,47,14,12,10,8,7,7,7,8,9,10,11,12,13,14,15,15,16,17,18,19,19,20,21,21,22,23,23,24,24,25,25,26,26,27,27,28,29,29,29,22,15,12,11,9,8,7,6,5,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,5,6,7,8,10,12,14,17,47,47,92,92,60,52,47,43,39,36,33,30,28,26,24,22,21,19,18,16,15,13,12,10,9,8,7,5,4,3,2,1,0,0,0,1,1,2,2,3,3,4,46,47,48,50,52,54,58,92,92,22,18,15,13,11,10,9,8,7,6,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,6,7,8,9,11,12,14,16,20
10       47,47,47,47,47,47,31,30,29,28,27,26,25,24,23,23,22,21,20,19,18,18,17,17,16,15,15,14,13,13,12,12,11,11,10,10,10,9,9,8,8,8,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,7,8,9,10,12,13,14,16,47,47,47,47,47,47,11,10,8,6,5,5,5,7,7,9,10,11,12,13,14,14,15,16,17,18,18,19,20,20,21,22,22,23,24,24,25,25,26,26,27,27,27,27,18,14,11,10,8,6,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,8,92,92,92,59,54,48,45,42,39,37,34,32,30,28,27,25,24,22,20,19,18,17,16,14,13,12,11,10,9,8,7,6,6,6,6,6,7,8,8,9,9,10,51,52,53,54,56,92,92,92,17,13,11,9,7,6,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,6,8
