1       0,40,42,43,43,43,43,42,42,43,43,42,15,14,13,13,13,13,13,12,12,13,13,14,14,13,13,13,13,13,13,13,14,28,32,34,36,37,39,40,41,42,43,43,36,31,27,22,18,11,11,11,10,10,10,10,9,9,9,9,10,10,9,9,9,9,14,20,22,23,23,24,23,24,25,26,27,29,31,33,39,40,39,37,35,33,32,29,25,21,18,8,0,0,3,8,47,57,61,62,63,66,67,68,70,69,70,66,63,48,41,38,36,34,34,35,33,33,34,34,34,34,35,35,36,37,39,43,45,57,64,63,62,60,60,57,55,53,48
2       0,0,0,7,18,23,25,28,31,33,35,36,33,29,27,24,24,23,23,23,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,22,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,23,23,23,23,23,22,22,22,23,23,23,23,23,24,24,24,24,24,24,23,24,25,24,25,25,26,29,31,33,38,36,34,32,30,28,26,22,18,7,11,50,61,65,68,71,74,76,78,79,81,83,39,29,25,25,24,22,20,19,20,20,19,19,19,19,20,19,21,22,22,24,26,27,37,67,82,81,79,77,75,73,71,67,62,58,29
3       9,10,9,7,12,16,21,25,28,30,33,35,35,35,29,26,25,24,22,23,21,22,23,22,22,22,21,21,22,22,22,22,22,22,22,22,23,23,23,23,23,23,22,22,23,23,24,24,24,24,24,24,24,23,23,24,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24,23,25,25,26,27,27,31,38,37,35,33,32,30,28,25,19,16,37,58,67,71,74,76,79,81,82,83,82,65,30,27,25,23,22,21,21,20,20,20,19,19,20,20,21,21,21,23,23,25,25,30,57,82,81,79,77,75,73,70,67,64,59,35,0
4       0,0,11,17,20,23,27,29,31,33,35,37,38,33,30,26,25,23,21,22,21,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,19,20,25,23,20,19,19,19,19,19,19,19,19,19,20,22,23,21,20,20,22,25,26,29,36,39,40,38,37,36,35,33,32,30,24,18,18,20,15,0,0,1,1,51,59,63,66,68,71,73,75,77,78,80,47,28,29,27,25,24,23,24,25,26,24,22,22,23,22,24,24,29,30,30,29,30,34,69,86,85,84,83,82,81,79,77
5       0,0,0,13,17,22,26,28,30,32,34,36,36,38,30,27,26,24,25,23,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,22,21,21,21,21,20,20,20,20,20,20,21,22,22,24,24,24,27,30,35,40,40,39,34,32,29,30,29,27,31,26,8,5,1,3,33,57,64,73,75,78,79,79,79,80,81,34,31,29,25,24,23,25,23,23,22,22,22,22,22,23,23,23,24,25,25,26,27,30,50,81,80,79,76,74,71,68,66,62,57
6       34,41,42,42,41,41,41,41,41,41,41,40,16,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,30,31,34,35,36,37,38,38,39,40,35,31,26,22,17,15,11,11,10,11,11,11,10,10,10,10,10,10,10,10,12,16,22,22,22,22,22,22,25,26,25,26,29,30,35,39,38,36,35,34,32,29,27,24,20,16,9,0,0,9,15,58,61,62,65,67,67,69,71,72,72,68,45,43,40,40,38,37,38,37,36,36,36,36,37,38,37,38,38,38,40,40,44,51,62,60,58,56,54,50,47,41,27,14,0,0
7       0,0,4,7,9,12,14,15,16,15,15,15,15,15,15,14,15,14,14,14,15,14,14,14,14,14,14,13,12,13,12,13,12,13,12,12,12,12,12,12,19,23,27,29,32,33,34,36,38,39,39,40,41,33,31,28,26,25,23,24,22,22,22,22,20,20,20,20,20,20,20,22,22,23,24,25,26,28,29,34,41,41,42,40,39,39,38,39,37,37,38,25,6,12,8,22,31,37,43,47,48,52,57,60,61,66,60,54,53,52,51,51,48,47,46,46,45,45,45,44,45,43,43,44,44,44,44,43,44,48,51,48,44,41,39,36,34,34,28
8       24,28,27,25,25,25,25,32,31,31,31,31,31,32,32,32,33,33,32,32,33,33,32,33,33,33,33,34,33,34,35,35,35,33,33,33,33,34,33,34,34,27,21,18,15,13,12,11,9,8,6,5,4,9,11,13,15,19,21,20,20,21,20,20,22,22,22,22,22,21,21,21,22,22,23,21,20,18,15,15,10,5,8,8,10,12,14,17,19,21,26,22,72,77,67,63,60,54,50,43,37,33,33,30,23,20,29,31,32,33,33,34,36,39,42,44,45,47,49,50,50,50,51,48,46,48,47,40,33,38,40,43,47,51,55,57,60,63,61
9       36,38,35,33,31,29,28,29,30,29,31,31,31,31,30,31,29,30,32,32,32,32,32,32,32,33,32,33,32,33,32,33,33,32,33,33,33,34,33,20,18,16,15,13,11,10,8,8,6,5,4,9,10,13,15,17,18,19,21,21,21,22,22,22,23,23,24,24,24,21,21,22,22,20,19,17,15,11,4,5,6,8,8,10,14,17,19,22,25,27,33,31,73,76,66,60,57,50,44,41,37,35,32,29,26,33,35,35,36,36,36,38,40,41,43,43,44,45,45,45,44,44,47,46,46,45,45,33,33,40,40,45,48,52,56,58,61,64,56
10       45,47,47,47,45,42,40,37,35,33,31,29,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,31,30,31,31,31,32,31,31,32,31,31,31,31,31,32,32,32,20,16,14,12,11,9,7,5,5,3,2,2,9,12,14,15,17,19,19,20,20,21,22,22,22,22,21,21,20,21,24,23,22,21,20,19,18,15,12,6,6,7,8,8,11,14,15,12,75,80,67,62,56,54,46,43,40,37,36,32,28,26,25,33,37,38,39,41,41,44,45,47,48,48,49,50,50,50,49,46,47,47,47,44,39,36,37,40,43,45,48,51,54,57,55
