1       7,30,30,30,30,30,30,24,10,36,36,36,36,36,36,29,12,36,32,1,0,0,0,0,8,36,33,0,0,0,0,0,12,36,31,0,0,0,0,0,12,36,34,18,18,14,2,0,12,36,36,36,36,36,33,10,7,33,36,24,12,24,36,30,0,0,6,0,0,1,34,30,0,0,0,0,0,0,26,30,0,0,0,0,0,0,26,30,16,33,17,0,0,0,30,30,16,36,29,1,0,7,35,30,3,33,36,29,22,34,36,26,0,6,30,36,36,36,27,4,0,0,0,7,12,7,0,0
2       0,0,9,16,15,8,0,0,0,24,36,36,36,36,20,0,12,36,30,5,5,24,36,12,24,36,8,0,0,2,36,26,29,36,1,0,0,0,36,30,30,36,3,0,0,0,36,30,30,36,0,0,0,6,36,30,30,36,0,0,0,6,36,28,30,36,0,0,0,6,36,25,30,36,0,0,0,6,36,28,35,36,0,0,0,6,36,24,36,36,0,0,0,12,36,24,27,36,7,0,0,18,36,22,13,36,32,14,19,35,36,8,0,15,35,36,36,35,15,0,0,0,3,10,9,3,0,0
3       22,13,2,12,12,2,0,0,0,19,35,36,36,34,12,0,13,36,30,11,13,30,35,6,27,36,7,0,0,8,36,19,28,36,0,0,0,6,36,24,30,36,0,0,0,6,36,24,36,36,0,0,0,6,36,24,32,36,0,0,0,10,36,24,36,36,0,0,0,11,36,24,36,32,0,0,0,11,36,21,36,30,0,0,0,12,36,18,36,30,0,0,0,12,36,18,32,34,2,0,0,21,36,18,18,36,27,12,17,36,35,5,1,26,36,36,36,35,13,0,0,0,9,12,12,2,0,0
4       0,0,6,21,24,19,1,0,0,10,35,36,36,36,33,6,2,34,35,16,6,19,36,27,11,36,20,0,0,0,27,30,12,36,18,0,0,0,24,30,12,36,20,0,0,0,24,30,12,36,24,0,0,0,24,30,12,36,24,0,0,0,24,30,12,36,19,0,0,0,19,30,12,36,18,0,0,8,22,30,12,36,18,0,0,0,18,30,10,36,20,4,5,0,20,30,3,35,33,9,3,12,33,30,2,13,36,36,36,36,36,30,0,0,9,24,29,28,35,30,0,0,4,2,0,8,12,9
5       0,0,5,17,18,12,0,0,0,15,36,36,36,36,26,1,6,35,33,14,12,28,36,17,18,36,11,0,0,3,36,30,20,36,6,0,0,0,36,30,24,36,6,0,0,0,36,30,24,36,6,0,0,0,31,30,20,36,6,0,0,0,30,30,23,36,6,0,0,0,30,30,24,36,6,0,0,0,33,30,22,36,6,0,0,0,30,30,18,36,8,0,0,0,31,30,13,36,24,2,0,13,36,27,6,31,36,34,33,36,35,9,13,21,24,35,36,29,14,0,0,8,5,0,0,0,0,0
6       30,36,36,36,36,35,29,3,24,36,36,36,36,36,36,5,24,36,12,0,0,0,0,0,24,36,6,0,0,0,0,0,24,36,6,0,0,0,0,0,24,36,22,29,27,11,0,0,24,36,36,36,36,36,19,0,16,33,27,8,13,33,36,5,0,2,1,0,0,16,36,14,0,0,0,0,0,7,36,18,5,14,1,0,0,6,36,18,36,36,3,0,0,12,36,12,29,36,24,3,7,29,36,7,10,36,36,36,36,36,24,0,0,9,28,36,33,18,1,0,0,0,0,0,0,0,0,0
7       0,0,0,0,3,22,7,0,0,0,0,1,29,36,24,0,0,0,0,23,36,28,1,0,0,0,11,36,34,4,0,0,0,0,30,36,14,0,0,0,0,8,36,30,0,0,0,0,0,24,36,17,11,2,0,0,0,34,36,36,36,34,15,0,7,36,36,34,30,35,36,16,13,36,31,3,0,8,36,30,18,36,16,0,0,0,28,30,18,36,13,0,0,0,25,30,14,36,22,0,0,11,35,30,8,35,36,25,26,35,36,26,27,22,36,36,36,36,31,5,11,4,7,12,12,11,2,4
8       35,14,0,3,28,16,29,29,36,36,30,32,10,0,7,30,36,36,36,16,0,6,33,30,36,36,26,0,1,30,36,30,36,36,6,0,20,36,36,30,36,24,0,6,36,36,36,30,36,8,0,18,31,36,36,30,32,1,0,0,0,4,23,30,17,0,0,2,5,0,0,17,5,0,5,33,36,20,0,0,2,0,19,36,36,32,0,0,0,0,24,36,36,33,0,0,10,0,15,36,36,29,0,0,29,0,0,10,16,2,0,4,36,23,1,0,0,0,6,27,11,12,6,0,0,0,10,9
9       35,36,36,36,14,0,16,29,36,36,36,22,0,0,18,30,36,36,29,1,0,16,34,30,36,36,8,0,10,36,36,30,36,24,0,1,32,36,36,30,36,8,0,14,36,36,36,30,33,0,0,13,18,24,36,30,24,0,0,0,0,0,11,30,9,0,0,14,14,1,0,9,0,0,16,36,36,23,0,0,0,0,29,36,36,32,0,0,8,0,26,36,36,30,0,0,14,0,8,32,35,15,0,0,32,1,0,0,0,0,0,8,36,29,5,0,0,1,23,30,11,12,8,0,0,12,12,9
10       35,36,36,36,36,29,36,29,36,36,36,36,21,0,11,29,36,36,36,24,0,0,10,29,36,36,30,1,0,10,35,30,36,36,7,0,4,33,36,30,36,25,0,0,25,36,36,30,36,4,0,9,36,36,36,30,31,0,0,6,12,15,32,30,19,0,0,0,0,0,2,19,11,0,0,15,23,5,0,0,2,0,10,36,36,32,0,0,0,0,18,36,36,36,4,0,8,0,14,36,36,35,2,0,25,0,0,22,30,13,0,0,36,13,0,0,0,0,0,5,11,12,0,0,0,0,0,4
