1       4,29,30,30,30,30,30,24,5,36,36,36,36,36,36,29,6,36,28,0,0,0,0,0,6,36,30,0,0,0,0,0,6,36,30,0,0,0,0,0,6,36,32,14,18,12,1,0,6,36,36,36,36,36,31,6,3,30,36,19,9,23,36,29,0,0,3,0,0,0,29,30,0,0,0,0,0,0,21,30,0,0,0,0,0,0,23,30,11,28,14,0,0,0,24,30,11,36,25,0,0,2,33,30,1,31,36,27,18,31,36,23,0,6,29,36,36,36,23,2,0,0,0,4,6,4,0,0
2       0,1,11,18,18,9,0,0,2,28,36,36,36,36,25,1,18,36,31,8,8,26,36,16,29,36,12,0,0,7,36,28,30,36,6,0,0,6,36,30,30,36,7,0,0,6,36,30,35,36,6,0,0,6,36,30,34,36,6,0,0,6,36,30,36,36,6,0,0,12,36,30,36,36,6,0,0,11,36,30,36,36,6,0,0,9,36,30,36,36,6,0,0,12,36,30,31,36,10,0,0,22,36,24,17,36,34,17,23,36,36,12,0,19,36,36,36,36,20,0,0,0,4,11,11,4,0,0
3       29,21,6,14,16,3,0,0,1,25,36,36,36,35,15,0,17,36,32,14,14,33,36,9,31,36,11,0,0,11,36,23,31,36,6,0,0,8,36,27,34,36,6,0,0,12,36,30,36,36,5,0,0,12,36,30,36,36,1,0,0,12,36,28,36,36,2,0,0,12,36,24,36,36,0,0,0,12,36,24,36,36,0,0,0,17,36,24,36,36,0,0,0,15,36,24,35,36,4,0,0,24,36,20,21,36,28,12,20,36,36,8,1,26,36,36,36,36,18,0,0,0,10,12,12,4,0,0
4       0,0,1,10,17,11,0,0,0,8,33,36,36,36,29,3,1,32,35,14,6,18,36,24,10,36,18,0,0,0,25,30,12,36,14,0,0,0,18,30,12,36,18,0,0,0,18,30,12,36,18,0,0,0,18,30,10,36,18,0,0,0,18,30,10,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,1,33,31,2,0,5,31,30,0,10,35,34,30,34,28,11,0,0,6,21,24,21,5,0,0,0,0,0,0,0,2,0
5       0,0,2,12,15,6,0,0,0,12,34,36,36,36,21,0,4,35,32,12,8,27,36,15,17,36,10,0,0,1,33,28,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,12,36,18,0,0,8,36,25,0,27,36,28,25,35,35,8,0,3,21,34,36,27,8,0,0,0,0,0,0,0,0,0
6       12,24,24,24,24,24,26,3,18,36,36,36,36,36,36,5,18,36,7,0,0,0,0,0,22,36,6,0,0,0,0,0,20,36,6,0,0,0,0,0,20,36,15,18,16,6,0,0,22,36,36,36,36,35,14,0,15,32,25,7,10,33,35,3,0,1,0,0,0,13,36,11,0,0,0,0,0,6,36,17,0,0,0,0,0,6,36,14,24,30,0,0,0,9,36,12,26,36,10,0,1,24,36,5,8,35,35,29,32,36,20,0,0,8,27,35,30,17,0,0,0,0,0,0,0,0,0,0
7       0,0,0,0,1,18,4,0,0,0,0,0,24,36,19,0,0,0,0,18,36,26,0,0,0,0,7,35,32,3,0,0,0,0,24,36,11,0,0,0,0,5,36,27,0,0,0,0,0,19,36,10,0,0,0,0,0,30,36,33,36,30,12,0,3,36,36,33,26,35,36,12,9,36,28,1,0,6,35,29,12,36,14,0,0,0,25,30,14,36,12,0,0,0,24,30,10,36,18,0,0,1,30,30,1,33,35,15,9,24,36,23,0,10,35,36,36,36,29,3,0,0,4,12,12,11,1,0
8       0,14,33,29,2,15,4,0,0,0,2,0,22,36,23,0,0,0,0,16,36,28,1,0,0,0,5,35,32,3,0,0,0,0,24,36,11,0,0,0,0,5,36,27,0,0,0,0,0,19,36,10,0,0,0,0,0,31,36,36,36,28,8,0,4,36,36,31,26,35,35,8,11,36,26,1,0,9,36,27,16,36,10,0,0,0,27,30,18,36,8,0,0,0,26,30,13,36,18,0,0,2,30,30,2,32,35,21,16,29,36,16,0,6,32,36,36,36,25,1,0,0,1,10,12,7,0,0
9       0,0,0,0,15,32,12,0,0,0,0,9,35,35,10,0,0,0,2,32,36,12,0,0,0,0,22,36,20,0,0,0,0,6,36,32,1,0,0,0,0,21,36,15,0,0,0,0,0,33,36,13,13,7,0,0,6,36,36,36,36,36,20,0,14,36,33,16,13,31,36,12,18,36,13,0,0,6,36,26,24,36,6,0,0,0,30,30,22,36,8,0,0,0,33,30,13,36,25,1,0,16,36,22,1,30,36,33,31,36,35,5,0,3,22,33,36,26,8,0,0,0,0,0,0,0,0,0
10       0,0,0,0,0,0,0,0,0,0,0,0,10,35,21,0,0,0,0,7,35,36,17,0,0,0,2,33,36,18,0,0,0,0,22,36,26,0,0,0,0,6,36,34,4,0,0,0,0,20,36,18,0,0,0,0,0,33,36,26,23,15,1,0,6,36,36,36,36,36,32,6,13,36,33,11,6,21,36,28,18,36,17,0,0,0,28,30,18,36,12,0,0,0,21,30,15,36,19,0,0,0,26,30,4,35,34,9,0,14,36,30,0,14,35,36,36,36,36,14,0,0,6,12,12,12,7,0
